,Country,GDP_USD_billions
0,Tuvalu,0.06
1,Nauru,0.15
2,Kiribati,0.25
3,Palau,0.26
4,Marshall Islands,0.29
5,Micronesia,0.46
6,Tonga,0.54
7,São Tomé and Príncipe,0.62
8,Dominica,0.68
9,Samoa,0.9
10,Saint Vincent and the Grenadines,1.04
11,Saint Kitts and Nevis,1.05
12,Vanuatu,1.06
13,Grenada,1.27
14,Comoros,1.35
15,Solomon Islands,1.7
16,San Marino,1.81
17,Antigua and Barbuda,1.86
18,Guinea-Bissau,1.89
19,Seychelles,1.95
20,East Timor,1.99
21,Saint Lucia,2.26
22,Gambia,2.28
23,Cape Verde,2.47
24,Lesotho,2.58
25,Eritrea,2.67
26,Bhutan,2.68
27,Central African Republic,2.74
28,Belize,3.16
29,Burundi,3.23
30,Suriname,3.47
31,Sierra Leone,3.52
32,Aruba,3.63
33,Andorra,3.67
34,Djibouti,3.92
35,Liberia,4.38
36,Eswatini,4.82
37,Fiji,5.38
38,Barbados,6.12
39,Maldives,7.0
40,South Sudan,7.01
41,Montenegro,7.03
42,Somalia,8.74
43,Togo,9.0
44,Kosovo,9.99
45,Mauritania,10.97
46,Malawi,11.28
47,Chad,11.96
48,Kyrgyzstan,12.31
49,Tajikistan,12.8
50,Congo,13.03
51,Rwanda,13.15
52,Namibia,13.49
53,Laos,14.09
54,Bahamas,14.11
55,Mauritius,14.57
56,Equatorial Guinea,15.1
57,North Macedonia,15.28
58,Moldova,15.83
59,Madagascar,15.97
60,Brunei,15.99
61,Guyana,16.31
62,Niger,16.62
63,Mongolia,16.91
64,Jamaica,17.25
65,Nicaragua,17.29
66,Benin,19.24
67,Malta,19.4
68,Yemen,19.53
69,Botswana,19.57
70,Palestine,19.21
71,Mozambique,19.91
72,Albania,20.18
73,Gabon,20.33
74,Mali,20.78
75,Burkina Faso,21.08
76,Guinea,23.33
77,Armenia,23.72
78,Haiti,26.58
79,Georgia,27.95
80,Trinidad and Tobago,28.22
81,Bosnia and Herzegovina,28.49
82,Iceland,28.62
83,Zambia,29.27
84,Zimbabwe,29.93
85,Cambodia,30.63
86,Cyprus,30.86
87,Senegal,31.22
88,Papua New Guinea,31.36
89,Honduras,32.86
90,El Salvador,33.75
91,Macau,35.84
92,Estonia,41.55
93,Nepal,42.1
94,Paraguay,42.82
95,Bahrain,44.87
96,Bolivia,46.1
97,Libya,46.3
98,Sudan,46.7
99,Latvia,47.4
100,Cameroon,48.62
101,Uganda,49.79
102,Tunisia,49.82
103,Jordan,52.06
104,Myanmar,63.99
105,Ghana,66.62
106,Slovenia,68.11
107,DR Congo,69.47
108,Azerbaijan,70.03
109,Belarus,73.54
110,Serbia,73.96
111,Ivory Coast,77.05
112,Panama,77.26
113,Uruguay,77.31
114,Costa Rica,77.78
115,Lithuania,78.35
116,Croatia,78.88
117,Turkmenistan,82.65
118,Tanzania,85.42
119,Luxembourg,86.97
120,Uzbekistan,92.33
121,Venezuela,96.63
122,Bulgaria,100.64
123,Guatemala,102.31
124,Oman,104.9
125,Angola,117.88
126,Kenya,118.13
127,Puerto Rico,120.84
128,Dominican Republic,121.29
129,Ecuador,121.29
130,Slovakia,127.53
131,Morocco,138.78
132,Ukraine,148.71
133,Ethiopia,156.08
134,Kuwait,164.71
135,Hungary,188.5
136,Algeria,206.01
137,Qatar,219.57
138,Greece,239.3
139,Kazakhstan,245.7
140,New Zealand,251.97
141,Portugal,267.72
142,Iraq,267.89
143,Peru,268.24
144,Finland,301.67
145,Czech Republic,330.48
146,Colombia,334.69
147,Romania,348.9
148,Chile,358.56
149,Iran,367.97
150,Egypt,378.11
151,Hong Kong,382.85
152,South Africa,399.02
153,Denmark,405.63
154,Bangladesh,420.52
155,Philippines,440.9
156,Malaysia,447.03
157,Vietnam,449.09
158,United Arab Emirates,498.98
159,Nigeria,506.6
160,Austria,515.2
161,Singapore,515.55
162,Israel,539.22
163,Norway,554.1
164,Thailand,574.23
165,Ireland,594.1
166,Sweden,599.05
167,Belgium,624.25
168,Argentina,641.1
169,Poland,748.89
170,Taiwan,790.73
171,Switzerland,869.6
172,Turkey,1029.3
173,Saudi Arabia,1061.9
174,Netherlands,1080.88
175,Indonesia,1391.78
176,Spain,1492.43
177,Mexico,1663.16
178,Australia,1707.55
179,South Korea,1721.91
180,Russia,2062.65
181,Brazil,2081.24
182,Canada,2089.67
183,Italy,2169.74
184,France,2923.49
185,United Kingdom,3158.94
186,India,3736.88
187,Germany,4308.85
188,Japan,4409.74
189,China,19373.59
190,United States,26854.6
